,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,위도,경도
0,스타벅스,동숭로아트점,음식,커피점/카페,서울특별시,종로구,이화동,37.5829644184897,127.00388696535
1,스타벅스남부터미널2점,남부터미널2점,음식,커피점/카페,서울특별시,서초구,서초3동,37.4843861241449,127.014197798445
2,스타벅스,현대목동점,음식,커피점/카페,서울특별시,양천구,목1동,37.5271465422093,126.874681763736
3,스타벅스,당산점,음식,커피점/카페,서울특별시,영등포구,당산2동,37.5351335863576,126.899952047656
4,스타벅스,가로수길점,음식,커피점/카페,서울특별시,강남구,신사동,37.5231842055575,127.021629292234
5,스타벅스미아사거리역점,미아사거리역점,음식,커피점/카페,서울특별시,강북구,송중동,37.6118406150505,127.030685494292
6,스타벅스중랑구청점,중랑구청점,음식,커피점/카페,서울특별시,중랑구,신내1동,37.605400319519,127.095653136278
7,스타벅스,문래역점,음식,커피점/카페,서울특별시,영등포구,문래동,37.5174497816404,126.89647871302
8,스타벅스,서강대점,음식,커피점/카페,서울특별시,마포구,대흥동,37.552426380667,126.937543279963
9,스타벅스,봉은사로선정릉점,음식,커피점/카페,서울특별시,강남구,삼성2동,37.5113566651683,127.048500978939
10,스타벅스,방배다이치빌딩점,음식,커피점/카페,서울특별시,서초구,방배1동,37.4843326178498,126.996073072997
11,스타벅스,뉴코아강남점,음식,커피점/카페,서울특별시,서초구,반포3동,37.5102488124166,127.006957982903
12,스타벅스,영풍문고점,음식,커피점/카페,서울특별시,종로구,종로1.2.3.4가동,37.5696599190406,126.982159843769
13,스타벅스,청담점,음식,커피점/카페,서울특별시,강남구,청담동,37.5243385164378,127.051571721037
14,스타벅스구로디지털로점,구로디지털로점,음식,커피점/카페,서울특별시,구로구,구로3동,37.4856968115932,126.895498623424
15,스타벅스,파미에파크점,음식,커피점/카페,서울특별시,서초구,반포4동,37.5044803619627,127.007826111215
16,스타벅스,코엑스몰점,음식,커피점/카페,서울특별시,강남구,삼성1동,37.5118203253706,127.059139102428
17,스타벅스구로에이스트윈타워1점,구로에이스트윈타워1점,음식,커피점/카페,서울특별시,구로구,구로3동,37.4844799519315,126.894487591345
18,스타벅스논현힐탑,,음식,커피점/카페,서울특별시,강남구,논현2동,37.5115850987019,127.032255003449
19,스타벅스종로관수점,종로관수점,음식,커피점/카페,서울특별시,종로구,종로1.2.3.4가동,37.569742784871,126.98865644043
20,스타벅스,포이점,음식,커피점/카페,서울특별시,강남구,개포4동,37.4778100339866,127.045116281379
21,스타벅스,발산역점,음식,커피점/카페,서울특별시,강서구,등촌3동,37.5601782971845,126.839290175551
22,스타벅스을지로입구,,음식,커피점/카페,서울특별시,중구,명동,37.567200132973,126.983212088099
23,스타벅스교대역점,교대역점,음식,커피점/카페,서울특별시,서초구,서초4동,37.4942326373696,127.01395530164
24,스타벅스,이마트본사점,음식,커피점/카페,서울특별시,성동구,성수2가1동,37.5400093725353,127.052889552846
25,스타벅스,방배역점,음식,커피점/카페,서울특별시,서초구,방배1동,37.4819850802876,126.997630905934
26,스타벅스,마곡사이언스타워R점,음식,커피점/카페,서울특별시,강서구,가양1동,37.5605394004382,126.833874311591
27,스타벅스소공로북창점,소공로북창점,음식,커피점/카페,서울특별시,중구,소공동,37.5637121351238,126.97892425905
28,스타벅스,IFC몰점,음식,커피점/카페,서울특별시,영등포구,여의동,37.5251722235016,126.924863083917
29,스타벅스고대프라자점,고대프라자점,음식,커피점/카페,서울특별시,성북구,안암동,37.5864875767796,127.030957744251
30,스타벅스황학캐슬점,황학캐슬점,음식,커피점/카페,서울특별시,중구,황학동,37.5708030625306,127.021448203321
31,스타벅스,순천향입구점,음식,커피점/카페,서울특별시,용산구,한남동,37.5334126703028,127.00563260758
32,스타벅스,이마빌딩점,음식,커피점/카페,서울특별시,종로구,종로1.2.3.4가동,37.5738942645562,126.978966379844
33,스타벅스,양재강남빌딩R점,음식,커피점/카페,서울특별시,강남구,도곡1동,37.4852467893652,127.036608959864
34,스타벅스,신사역점,음식,커피점/카페,서울특별시,강남구,논현1동,37.5161838031466,127.020634740018
35,스타벅스신세계본점,신세계본점,음식,커피점/카페,서울특별시,중구,회현동,37.5603490764434,126.980758504179
36,스타벅스,등촌점,음식,커피점/카페,서울특별시,강서구,등촌3동,37.5582364999702,126.844334259983
37,스타벅스,강남구청역점,음식,커피점/카페,서울특별시,강남구,논현2동,37.5166051560388,127.041239849867
38,스타벅스강남삼성타운점,강남삼성타운점,음식,커피점/카페,서울특별시,서초구,서초2동,37.4955362431632,127.027735014225
39,스타벅스,화곡DT점,음식,커피점/카페,서울특별시,강서구,화곡4동,37.535001459722,126.863169824979
40,스타벅스,마포염리점,음식,커피점/카페,서울특별시,마포구,염리동,37.5439913688051,126.947462780197
41,스타벅스여의도점,여의도점,음식,커피점/카페,서울특별시,영등포구,여의동,37.5240694890111,126.924482950628
42,스타벅스,문화일보점,음식,커피점/카페,서울특별시,중구,소공동,37.5671186223597,126.968622139719
