,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,위도,경도
0,커피빈,코리아대학로대명거리점,음식,커피점/카페,서울특별시,종로구,혜화동,37.5831492497775,127.000170846364
1,커피빈코리아낙성대역점,코리아낙성대역점,음식,커피점/카페,서울특별시,관악구,행운동,37.4781056688261,126.961593240638
2,커피빈,코리아강남역랭기지타워점,음식,커피점/카페,서울특별시,강남구,역삼1동,37.4965196043765,127.030074547889
3,커피빈,코리아청담성당점,음식,커피점/카페,서울특별시,강남구,청담동,37.5199018862561,127.050021491746
4,커피빈,코리아청담에스점,음식,커피점/카페,서울특별시,강남구,청담동,37.5252495612624,127.047215839761
5,커피빈,코리아청담카페점,음식,커피점/카페,서울특별시,강남구,청담동,37.5244880169564,127.044408516548
6,커피빈,코리아반포엘루체점,음식,커피점/카페,서울특별시,서초구,반포본동,37.501737407512,126.987210696283
7,커피빈,관훈점,음식,커피점/카페,서울특별시,종로구,종로1.2.3.4가동,37.5741200017691,126.985291589755
8,커피빈,서강대학교점,음식,커피점/카페,서울특별시,마포구,대흥동,37.5514936288891,126.943045399174
9,커피빈,안국역점,음식,커피점/카페,서울특별시,종로구,삼청동,37.5763303655404,126.984571010312
10,커피빈코리아오목교역사거리점,코리아오목교역사거리점,음식,커피점/카페,서울특별시,양천구,목1동,37.5241430317764,126.876254146751
11,커피빈,코리아뉴선릉역점,음식,커피점/카페,서울특별시,강남구,역삼1동,37.5043811001854,127.047209664779
12,커피빈,미스리,음식,커피점/카페,서울특별시,송파구,잠실본동,37.5051457354013,127.078857704701
13,커피빈,코리아청담점,음식,커피점/카페,서울특별시,강남구,청담동,37.5254230653213,127.040821546998
14,커피빈코리아서초역1번출구점,코리아서초역1번출구점,음식,커피점/카페,서울특별시,서초구,서초3동,37.491994761973,127.009257830783
15,커피빈코리아트레이드타,,음식,커피점/카페,서울특별시,강남구,삼성1동,37.5103484923478,127.061012608393
16,커피빈,코리아서초지파이브점,음식,커피점/카페,서울특별시,서초구,서초4동,37.495442355068,127.016393422594
17,커피빈,코리아연대동문회관점,음식,커피점/카페,서울특별시,서대문구,신촌동,37.5630203260611,126.943312690815
18,커피빈,코리아대치도곡역점,음식,커피점/카페,서울특별시,강남구,대치1동,37.4924199889895,127.057935032394
19,커피빈,코리아중계동은행사거리점,음식,커피점/카페,서울특별시,노원구,중계1동,37.6512046410954,127.076455974647
20,커피빈,코리아하나은행을지로본점,음식,커피점/카페,서울특별시,중구,명동,37.5664855995437,126.981852131446
21,커피빈,코리아논현동팍스타워점,음식,커피점/카페,서울특별시,강남구,논현2동,37.509936177251,127.036664991663
22,커피빈,코리아차병원점,음식,커피점/카페,서울특별시,강남구,역삼1동,37.5068404935954,127.034940318209
23,커피빈코리아압구정로데오점,코리아압구정로데오점,음식,커피점/카페,서울특별시,강남구,압구정동,37.5261110066291,127.038991260853
24,커피빈,코리아동부이촌점,음식,커피점/카페,서울특별시,용산구,이촌1동,37.5189042817897,126.981141518495
25,커피빈,코리아대치포스코뒷점,음식,커피점/카페,서울특별시,강남구,대치4동,37.5045881509052,127.056164781276
26,커피빈,코리아홍대역8번출구점,음식,커피점/카페,서울특별시,마포구,서교동,37.556818733935,126.925076311931
