,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,위도,경도
0,이디야커피,신길역점,음식,커피점/카페,서울특별시,영등포구,신길1동,37.5151175359347,126.918061930143
1,이디야커피,라이프점,음식,커피점/카페,서울특별시,영등포구,여의동,37.5195441715436,126.939197515335
2,이디야커피,시흥점,음식,커피점/카페,서울특별시,금천구,시흥2동,37.4490661391638,126.913645616749
3,이디야커피양재AT점,양재AT점,음식,커피점/카페,서울특별시,서초구,양재2동,37.4690754974886,127.040264535602
4,이디야커피,개봉중앙점,음식,커피점/카페,서울특별시,구로구,개봉3동,37.486436308155,126.854871610173
5,이디야커피,해군회관점,음식,커피점/카페,서울특별시,동작구,대방동,37.5042531290316,126.922245141657
6,이디야커피,등촌역점,음식,커피점/카페,서울특별시,강서구,등촌2동,37.5491759557566,126.863294073943
7,이디야커피,도림사거리,음식,커피점/카페,서울특별시,영등포구,신길3동,37.506578801536,126.901807636528
8,이디야서대문점2호,,음식,커피점/카페,서울특별시,서대문구,천연동,37.5669176328747,126.965217701593
9,이디야커피,은행나무사거리점,음식,커피점/카페,서울특별시,금천구,시흥5동,37.4517946273034,126.906621395895
10,이디야IBK고객센터,,음식,커피점/카페,서울특별시,용산구,한남동,37.5350553803212,127.007036466984
11,이디야커피,둔촌점,음식,커피점/카페,서울특별시,강동구,성내3동,37.5291600035584,127.136241466487
12,이디야커피,약수역점,음식,커피점/카페,서울특별시,중구,약수동,37.554547359671,127.011610592033
13,이디야커피,영등포아크로타워점,음식,커피점/카페,서울특별시,영등포구,영등포동,37.5237380756014,126.907031665096
14,이디야커피,디지털미디어시티역사점,음식,커피점/카페,서울특별시,마포구,상암동,37.5768156922163,126.898999488272
15,이디야커피,동덕여대점,음식,커피점/카페,서울특별시,성북구,월곡2동,37.6045916750418,127.042263523491
16,이디야커피,강서구청점,음식,커피점/카페,서울특별시,강서구,화곡6동,37.5503055677773,126.848757193059
17,이디야커피,중계롯데우성점,음식,커피점/카페,서울특별시,노원구,중계1동,37.646364068414,127.072753764215
18,이디야커피,양재언남점,음식,커피점/카페,서울특별시,서초구,양재2동,37.4716851007454,127.045397700723
19,이디야커피,,음식,커피점/카페,서울특별시,성북구,월곡1동,37.6091540791412,127.03821823545
