,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,위도,경도
0,할리스커피남부터미널,,음식,커피점/카페,서울특별시,서초구,서초1동,37.4867236974339,127.015738833106
1,할리스,백석예술대점,음식,커피점/카페,서울특별시,서초구,방배3동,37.4803658491494,126.996883688796
2,할리스커피KBS본관점,KBS본관점,음식,커피점/카페,서울특별시,영등포구,여의동,37.5260167593971,126.91867384416
3,할리스커피마포역점,마포역점,음식,커피점/카페,서울특별시,마포구,용강동,37.5395713898338,126.945906803034
4,할리스커피,목동예술인회관점,음식,커피점/카페,서울특별시,양천구,목1동,37.527063812107,126.870734590068
5,할리스커피,르네상스사거리점,음식,커피점/카페,서울특별시,강남구,역삼2동,37.5020428555634,127.042195164576
6,할리스커피화양점,화양점,음식,커피점/카페,서울특별시,광진구,화양동,37.5448879286451,127.072676773777
7,할리스,도심공항점2,음식,커피점/카페,서울특별시,강남구,삼성1동,37.5103484923478,127.061012608393
8,할리스커피,신사사거리점,음식,커피점/카페,서울특별시,서초구,잠원동,37.5171504469858,127.018766913278
9,할리스,,음식,커피점/카페,서울특별시,광진구,화양동,37.5406010925762,127.069516198297
10,할리스커피강남역점,강남역점,음식,커피점/카페,서울특별시,강남구,역삼1동,37.498771710373,127.02781746866
11,할리스커피,구로디지털뉴스테이점,음식,커피점/카페,서울특별시,영등포구,대림2동,37.4862744232959,126.903337444242
12,할리스커피,한티역점,음식,커피점/카페,서울특별시,강남구,대치1동,37.4967829830988,127.055912440933
13,할리스,명동퍼시픽호텔점,음식,커피점/카페,서울특별시,중구,명동,37.559704428125,126.985419212356
14,할리스커피,구로디지털역점,음식,커피점/카페,서울특별시,구로구,구로3동,37.4845333814883,126.901180619405
15,할리스커피,구산역점,음식,커피점/카페,서울특별시,은평구,구산동,37.6108864552373,126.91682324298
16,할리스커피홍대역점,홍대역점,음식,커피점/카페,서울특별시,마포구,서교동,37.5548331697021,126.922739421251
17,할리스커피,발산역점,음식,커피점/카페,서울특별시,강서구,우장산동,37.5581850953811,126.839094732759
18,할리스커피,법원앞점,음식,커피점/카페,서울특별시,서초구,서초4동,37.4955156748238,127.014379479024
19,할리스,,음식,커피점/카페,서울특별시,광진구,화양동,37.546564073743,127.074998556359
20,할리스커피,자연사박물관점,음식,커피점/카페,서울특별시,서대문구,연희동,37.5767391045948,126.937843220618
21,할리스커피,강남대로논현,음식,커피점/카페,서울특별시,강남구,논현1동,37.5086249415716,127.022927815327
22,할리스커피,망우점,음식,커피점/카페,서울특별시,중랑구,망우본동,37.6001321729256,127.104312414698
23,할리스커피,종로코리안리빌딩점,음식,커피점/카페,서울특별시,종로구,종로1.2.3.4가동,37.5734024597516,126.980444775983
24,할리스커피,아시아선수촌점,음식,커피점/카페,서울특별시,송파구,잠실본동,37.5070269838359,127.079762064854
25,할리스커피,영등포점,음식,커피점/카페,서울특별시,영등포구,영등포동,37.5167445185456,126.906873500802
26,할리스커피한양대시티빌점,한양대시티빌점,음식,커피점/카페,서울특별시,성동구,사근동,37.5604844833226,127.039908176071
27,할리스커피금천점,금천점,음식,커피점/카페,서울특별시,금천구,독산1동,37.4694004262893,126.896846327225
28,할리스에프앤비,,음식,커피점/카페,서울특별시,금천구,가산동,37.4725273204229,126.881538212599
29,할리스커피,신림점,음식,커피점/카페,서울특별시,관악구,신림동,37.4859442291668,126.929224798605
30,할리스,오류동역점,음식,커피점/카페,서울특별시,구로구,오류1동,37.4964750379094,126.845727778789
31,할리스커피,가양점,음식,커피점/카페,서울특별시,강서구,염창동,37.5571060005552,126.86432805766
32,할리스커피,명동성당점,음식,커피점/카페,서울특별시,중구,명동,37.5644717806723,126.986565721711
33,할리스커피,마곡나인스퀘어점,음식,커피점/카페,서울특별시,강서구,발산1동,37.5588817458766,126.830255660326
34,할리스커피,커피클럽선릉역점,음식,커피점/카페,서울특별시,강남구,역삼1동,37.5042331139377,127.046736515811
35,할리스커피,서울대병원점,음식,커피점/카페,서울특별시,종로구,이화동,37.5804478224547,126.997184076959
36,할리스커피,이수로데오점,음식,커피점/카페,서울특별시,동작구,사당2동,37.4877521192333,126.981858773429
37,할리스커피,보라매병원점,음식,커피점/카페,서울특별시,동작구,신대방2동,37.4929999195765,126.924317993184
