,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,위도,경도
0,메가커피미아,수유시장점,음식,커피점/카페,서울특별시,강북구,미아동,37.63016413629,127.023695307748
1,메가커피,아차산역점,음식,커피점/카페,서울특별시,광진구,중곡4동,37.5526466341909,127.090134203752
2,메가커피,신설동역점,음식,커피점/카페,서울특별시,동대문구,용신동,37.5762004556817,127.023641793269
3,메가커피,개봉사거리점,음식,커피점/카페,서울특별시,구로구,개봉1동,37.4971082019875,126.85616752055
4,메가커피,방학도깨비시장점,음식,커피점/카페,서울특별시,도봉구,방학2동,37.6651353048547,127.036000175233
5,메가커피,동대문점,음식,커피점/카페,서울특별시,중구,광희동,37.567824122168,127.007835481776
6,메가커피,구로매봉초점,음식,커피점/카페,서울특별시,구로구,개봉1동,37.5029182252437,126.844882137959
7,메가커피,합정역점,음식,커피점/카페,서울특별시,마포구,합정동,37.5493760054356,126.91422841748
8,메가커피,숙대입구역점,음식,커피점/카페,서울특별시,용산구,남영동,37.5430559563099,126.972201426584
9,메가커피,용마산역점,음식,커피점/카페,서울특별시,중랑구,면목4동,37.575020129369,127.08552612364
10,메가커피,중랑구청점,음식,커피점/카페,서울특별시,중랑구,신내1동,37.6066789883957,127.095547049314
11,메가커피,사가정역점,음식,커피점/카페,서울특별시,중랑구,면목7동,37.5800695638555,127.088317443324
12,메가커피,남성점,음식,커피점/카페,서울특별시,동작구,사당3동,37.4834739911913,126.974782090264
13,메가커피,불광역점,음식,커피점/카페,서울특별시,은평구,대조동,37.6117216588518,126.928364037387
14,메가커피,안국역점,음식,커피점/카페,서울특별시,종로구,가회동,37.5789059489975,126.98650596745
15,메가커피,잠실레이크팰리스점,음식,커피점/카페,서울특별시,송파구,삼전동,37.5070082935035,127.092486811269
16,메가커피,화곡역점,음식,커피점/카페,서울특별시,강서구,화곡1동,37.5411588323615,126.839426685052
17,메가커피위례와이즈더샵점,,음식,커피점/카페,서울특별시,송파구,위례동,37.4770605514103,127.143659106823
18,메가커피,응암시장점,음식,커피점/카페,서울특별시,은평구,응암3동,37.5937036028773,126.917785746755
19,메가커피,,음식,커피점/카페,서울특별시,동작구,신대방1동,37.4952628970615,126.911676269508
20,메가커피,은행사거리점,음식,커피점/카페,서울특별시,노원구,중계본동,37.6515632816969,127.077380803731
21,메가커피,구로디지털단지역점,음식,커피점/카페,서울특별시,구로구,구로3동,37.4851573575664,126.89273629885
22,메가커피문정,아이파크점,음식,커피점/카페,서울특별시,송파구,문정2동,37.482308670163,127.122093311945
23,메가커피대학점,대학점,음식,커피점/카페,서울특별시,관악구,대학동,37.4707324928712,126.933986475746
24,메가커피,신길중앙점,음식,커피점/카페,서울특별시,영등포구,신길1동,37.5119750602796,126.917315505678
25,메가커피,애오개점,음식,커피점/카페,서울특별시,마포구,아현동,37.5523504647707,126.954271487756
26,메가커피,방배점,음식,커피점/카페,서울특별시,서초구,방배2동,37.4803844047686,126.982196189991
27,메가커피우이동점,우이동점,음식,커피점/카페,서울특별시,강북구,우이동,37.6541978792207,127.012172458694
28,메가커피,상계역점,음식,커피점/카페,서울특별시,노원구,중계4동,37.660126760897,127.074396031807
29,메가커피,봉천역점,음식,커피점/카페,서울특별시,관악구,청룡동,37.4819978188323,126.943256295773
30,MEGACOFFEE메가커피,동소문점,음식,커피점/카페,서울특별시,성북구,동선동,37.5939627499069,127.016377703664
31,메가커피,,음식,커피점/카페,서울특별시,영등포구,신길7동,37.5038771426757,126.921526702725
32,메가커피,가양역점,음식,커피점/카페,서울특별시,강서구,등촌3동,37.5608859607239,126.854547991351
33,메가커피건대학생회관점,,음식,커피점/카페,서울특별시,광진구,화양동,37.5390559369817,127.074695272526
34,메가커피,영등포구청역점,음식,커피점/카페,서울특별시,영등포구,당산1동,37.5261221072656,126.896939268597
35,메가커피신도림역점,신도림역점,음식,커피점/카페,서울특별시,구로구,신도림동,37.5090348833153,126.886965798897
36,메가커피,연남숲길점,음식,커피점/카페,서울특별시,마포구,연남동,37.5610446079214,126.924087465836
37,메가커피,노량진점,음식,커피점/카페,서울특별시,동작구,노량진1동,37.5129609443992,126.943600364789
38,메가커피공덕SK리더스뷰,,음식,커피점/카페,서울특별시,마포구,아현동,37.5451726114195,126.94958495752
39,메가커피,고대정문점,음식,커피점/카페,서울특별시,동대문구,제기동,37.5886590810448,127.035356878433
40,메가커피수락산역점,수락산역점,음식,커피점/카페,서울특별시,노원구,상계1동,37.6801805266229,127.055803801993
41,메가커피,망원역점,음식,커피점/카페,서울특별시,마포구,망원1동,37.5558263555103,126.90922286173
42,메가커피,우장산역점,음식,커피점/카페,서울특별시,강서구,발산1동,37.5480881183352,126.835799772481
43,메가커피왕십리점,왕십리점,음식,커피점/카페,서울특별시,성동구,사근동,37.5611110995194,127.039402107124
44,메가커피고대점,고대점,음식,커피점/카페,서울특별시,성북구,안암동,37.5869907922067,127.029694397544
45,메가커피,발산역점,음식,커피점/카페,서울특별시,강서구,등촌3동,37.5594621394871,126.838848550642
46,메가커피.에이치비지니,스파크점,음식,커피점/카페,서울특별시,송파구,문정2동,37.4849410153847,127.116216595299
47,메가커피수색자이,,음식,커피점/카페,서울특별시,은평구,수색동,37.579615199048,126.898709191114
48,메가커피,신곡시장점,음식,커피점/카페,서울특별시,양천구,신월4동,37.5188344983532,126.84252142701
49,메가커피홍대입구역점,홍대입구역점,음식,커피점/카페,서울특별시,마포구,서교동,37.5561892649359,126.924225188652
50,메가커피서울대입구점,서울대입구점,음식,커피점/카페,서울특별시,관악구,행운동,37.4799921599616,126.956852326241
51,메가커피,,음식,커피점/카페,서울특별시,구로구,구로3동,37.4829732036376,126.901033866041
52,메가커피,가산SKV1점,음식,커피점/카페,서울특별시,금천구,가산동,37.4814819459092,126.880398452512
53,메가커피,이수태평점,음식,커피점/카페,서울특별시,동작구,사당2동,37.4876456065385,126.981000836142
54,식빵은여기메가커피,,음식,커피점/카페,서울특별시,송파구,잠실2동,37.5133123554787,127.100294698166
55,메가커피고투몰점,,음식,커피점/카페,서울특별시,서초구,반포3동,37.5062139130796,127.005032097372
56,메가커피,상도해링턴플레이스점,음식,커피점/카페,서울특별시,동작구,상도2동,37.505503643943,126.941963667651
57,메가커피,가락시장역점,음식,커피점/카페,서울특별시,송파구,가락본동,37.494963464668,127.118982271183
58,메가커피,서일대점,음식,커피점/카페,서울특별시,중랑구,면목3.8동,37.5878073167981,127.096228367771
59,메가커피,개포동역점,음식,커피점/카페,서울특별시,강남구,개포2동,37.4886502561248,127.067741087903
60,메가커피,청량리역점,음식,커피점/카페,서울특별시,동대문구,청량리동,37.5820329004573,127.047126673875
61,메가커피,경희대점,음식,커피점/카페,서울특별시,동대문구,회기동,37.5929815207856,127.05284141892
62,메가커피,신창시장점,음식,커피점/카페,서울특별시,도봉구,창3동,37.6389638115153,127.038638554479
63,메가커피,봉일시장점,음식,커피점/카페,서울특별시,관악구,은천동,37.4863437539284,126.939554086419
64,메가커피,가재울뉴타운점,음식,커피점/카페,서울특별시,서대문구,남가좌1동,37.5743677926814,126.917827900867
65,메가커피,여의도역점,음식,커피점/카페,서울특별시,영등포구,여의동,37.5213888483049,126.924973940223
66,메가커피,연희점,음식,커피점/카페,서울특별시,서대문구,연희동,37.5666125664581,126.930980225848
67,메가커피,,음식,커피점/카페,서울특별시,강남구,역삼1동,37.4986562606686,127.028022534124
68,메가커피,양천구청점,음식,커피점/카페,서울특별시,양천구,신정7동,37.5157451945077,126.86118834113
69,메가커피,공덕점,음식,커피점/카페,서울특별시,마포구,도화동,37.5421128103619,126.951019740081
70,메가커피,신대방삼거리역점,음식,커피점/카페,서울특별시,동작구,대방동,37.4994567579003,126.927878308722
71,메가커피등촌,성당점,음식,커피점/카페,서울특별시,강서구,등촌3동,37.5598969868928,126.845519686208
72,메가커피,,음식,커피점/카페,서울특별시,용산구,한강로동,37.5310076412562,126.969979485666
73,메가커피,숭실대입구역점,음식,커피점/카페,서울특별시,동작구,상도1동,37.4962512608856,126.953244830434
74,메가커피,상계백병원점,음식,커피점/카페,서울특별시,노원구,상계6.7동,37.6499212225917,127.062249816229
75,메가커피,성수역점,음식,커피점/카페,서울특별시,성동구,성수2가3동,37.5444950328183,127.056069273562
76,메가커피,은평뉴타운점,음식,커피점/카페,서울특별시,은평구,진관동,37.6396051116528,126.919103095201
77,메가커피,목동파라곤점,음식,커피점/카페,서울특별시,양천구,목1동,37.5299883971398,126.875057684574
78,메가커피,반포고투몰점,음식,커피점/카페,서울특별시,서초구,반포4동,37.5059125018716,127.004549748531
79,메가커피,약수역점,음식,커피점/카페,서울특별시,중구,약수동,37.5548033271589,127.010973412295
80,메가커피,명보사거리점,음식,커피점/카페,서울특별시,중구,을지로동,37.5641632281085,126.992625693194
81,메가커피,창동신창점,음식,커피점/카페,서울특별시,도봉구,창3동,37.6340911553435,127.041091939447
82,메가커피북한산,정릉점,음식,커피점/카페,서울특별시,성북구,정릉4동,37.6166552570101,127.001874522924
83,메가커피양천신정중앙,,음식,커피점/카페,서울특별시,양천구,신정1동,37.5212088508298,126.859668597942
84,메가커피광장시장남2문,,음식,커피점/카페,서울특별시,종로구,종로1.2.3.4가동,37.5696158916619,127.00020462377
